Zaman (sn),CH1 (V),CH2 (V),Label
6.3598,1.6770,1.5747,1
6.3598,1.6770,1.5884,1
6.3598,1.6770,1.5948,1
6.3598,1.6818,1.6029,1
6.3598,1.6794,1.6085,1
6.3598,1.6770,1.6158,1
6.3598,1.6762,1.6085,1
6.3598,1.6722,1.6319,1
6.3598,1.6657,1.6496,1
6.3598,1.6730,1.6399,1
6.3598,1.6738,1.6375,1
6.3598,1.6722,1.6351,1
6.3598,1.6665,1.6383,1
6.3598,1.6641,1.6391,1
6.3598,1.6649,1.6254,1
6.3598,1.6633,1.6238,1
6.3598,1.6641,1.6262,1
6.3598,1.6722,1.6101,1
6.3598,1.6730,1.6061,1
6.3598,1.6657,1.6190,1
6.3598,1.6657,1.6190,1
6.3598,1.6705,1.6109,1
6.3598,1.6689,1.6141,1
6.3598,1.6657,1.6117,1
6.3598,1.6722,1.6270,1
6.3598,1.6673,1.6319,1
6.3598,1.6641,1.6399,1
6.3598,1.6649,1.6488,1
6.3598,1.6625,1.6504,1
6.3598,1.6633,1.6343,1
6.3598,1.6609,1.6327,1
6.3598,1.6625,1.6432,1
6.3598,1.6689,1.6488,1
6.3598,1.6697,1.6448,1
6.3598,1.6705,1.6375,1
6.3598,1.6746,1.6286,1
6.3598,1.6689,1.6206,1
6.3598,1.6697,1.6149,1
6.3598,1.6851,1.6053,1
6.3598,1.6826,1.6149,1
6.3598,1.6834,1.6246,1
6.3598,1.6818,1.6343,1
6.3598,1.6770,1.6359,1
6.3598,1.6778,1.6391,1
6.3598,1.6730,1.6319,1
6.3598,1.6754,1.6399,1
6.4144,1.6794,1.6343,1
6.4144,1.6770,1.6214,1
6.4144,1.6681,1.6278,1
6.4144,1.6730,1.6311,1
6.4144,1.6730,1.6295,1
6.4144,1.6689,1.6238,1
6.4144,1.6722,1.6085,1
6.4144,1.6714,1.6077,1
6.4144,1.6697,1.6198,1
6.4144,1.6665,1.6149,1
6.4144,1.6657,1.6174,1
6.4144,1.6673,1.6174,1
6.4144,1.6665,1.6166,1
6.4144,1.6714,1.6101,1
6.4144,1.6722,1.6061,1
6.4144,1.6681,1.6085,1
6.4144,1.6657,1.6158,1
6.4144,1.6665,1.6069,1
6.4144,1.6665,1.5972,1
6.4144,1.6673,1.5964,1
6.4144,1.6714,1.5996,1
6.4144,1.6673,1.6214,1
6.4144,1.6625,1.6125,1
6.4144,1.6577,1.6125,1
6.4144,1.6601,1.6133,1
6.4144,1.6665,1.6182,1
6.4144,1.6641,1.6286,1
6.4144,1.6673,1.6375,1
6.4144,1.6673,1.6423,1
6.4144,1.6657,1.6359,1
6.4144,1.6625,1.6286,1
6.4144,1.6673,1.6149,1
6.4144,1.6649,1.6214,1
6.4144,1.6633,1.6174,1
6.4144,1.6649,1.6182,1
6.4144,1.6609,1.6077,1
6.4144,1.6585,1.5956,1
6.4144,1.6552,1.5900,1
6.4144,1.6577,1.5972,1
6.4144,1.6617,1.6029,1
6.4144,1.6585,1.6117,1
6.4144,1.6641,1.6295,1
6.4144,1.6681,1.6303,1
6.4144,1.6665,1.6319,1
6.4144,1.6625,1.6343,1
6.4144,1.6665,1.6383,1
6.4144,1.6697,1.6440,1
6.4144,1.6681,1.6512,1
6.4144,1.6697,1.6432,1
6.4144,1.6689,1.6456,1
6.4144,1.6714,1.6738,1
6.4144,1.6641,1.6568,1
6.4144,1.6649,1.6496,1
6.4144,1.6649,1.6585,1
6.4144,1.6625,1.6448,1
6.4144,1.6714,1.6480,1
6.4144,1.6730,1.6464,1
6.4144,1.6730,1.6415,1
6.4144,1.6673,1.6472,1
6.4144,1.6681,1.6391,1
6.4144,1.6689,1.5940,1
6.4144,1.6665,1.6037,1
6.4144,1.6697,1.6109,1
6.4144,1.6705,1.6061,1
6.4144,1.6738,1.6238,1
6.4144,1.6609,1.6117,1
6.4144,1.6625,1.6190,1
6.4144,1.6633,1.6254,1
6.4144,1.6641,1.6278,1
6.4144,1.6633,1.6311,1
6.4144,1.6617,1.6480,1
6.4144,1.6617,1.6343,1
6.4144,1.6577,1.6319,1
6.4144,1.6625,1.6359,1
6.4144,1.6617,1.6214,1
6.4144,1.6617,1.6254,1
6.4144,1.6601,1.6166,1
6.4144,1.6649,1.6061,1
6.4144,1.6641,1.6101,1
6.4144,1.6633,1.6286,1
6.4144,1.6673,1.6230,1
6.4144,1.6697,1.6278,1
6.4144,1.6689,1.6311,1
6.4144,1.6665,1.6141,1
6.4144,1.6681,1.6254,1
6.4144,1.6673,1.6270,1
6.4144,1.6625,1.6480,1
6.4144,1.6681,1.6464,1
6.4144,1.6689,1.6367,1
6.4144,1.6673,1.6214,1
6.4144,1.6649,1.6214,1
6.4144,1.6649,1.6254,1
6.4144,1.6641,1.6367,1
6.4144,1.6617,1.6448,1
6.4144,1.6633,1.6448,1
6.4144,1.6657,1.6440,1
6.4144,1.6633,1.6351,1
6.4144,1.6552,1.6375,1
6.4144,1.6593,1.6351,1
6.4144,1.6568,1.6327,1
6.4144,1.6552,1.6230,1
6.4144,1.6609,1.6125,1
6.4144,1.6609,1.5988,1
6.4144,1.6593,1.6270,1
6.4144,1.6609,1.6383,1
6.4144,1.6617,1.6432,1
6.4549,1.6633,1.6399,1
6.4549,1.6617,1.6496,1
6.4549,1.6641,1.6528,1
6.4549,1.6673,1.6504,1
6.4549,1.6657,1.6722,1
6.4549,1.6609,1.6851,1
6.4549,1.6641,1.6673,1
6.4549,1.6617,1.6415,1
6.4549,1.6568,1.6270,1
6.4549,1.6609,1.6295,1
6.4549,1.6617,1.6117,1
6.4549,1.6585,1.6021,1
6.4549,1.6585,1.5948,1
6.4549,1.6641,1.5980,1
6.4549,1.6633,1.5843,1
6.4549,1.6568,1.5481,1
6.4549,1.6552,1.5650,1
6.4549,1.6577,1.5730,1
6.4549,1.6560,1.5787,1
6.4549,1.6552,1.5795,1
6.4549,1.6585,1.5867,1
6.4549,1.6649,1.5875,1
6.4549,1.6585,1.5932,1
6.4549,1.6609,1.5908,1
6.4549,1.6601,1.5980,1
6.4549,1.6649,1.6423,1
6.4549,1.6649,1.6343,1
6.4549,1.6649,1.6295,1
6.4549,1.6665,1.6166,1
6.4549,1.6593,1.6109,1
6.4549,1.6617,1.6149,1
6.4549,1.6593,1.6125,1
6.4549,1.6568,1.6133,1
6.4549,1.6528,1.6053,1
6.4549,1.6617,1.6262,1
6.4549,1.6617,1.6012,1
6.4549,1.6601,1.6037,1
6.4549,1.6657,1.5988,1
6.4549,1.6665,1.6012,1
6.4549,1.6665,1.6077,1
6.4549,1.6641,1.6109,1
6.4549,1.6673,1.6270,1
6.4549,1.6714,1.6286,1
6.4549,1.6681,1.6286,1
6.4549,1.6657,1.6109,1
6.4549,1.6673,1.6262,1
6.4549,1.6665,1.6399,1
6.4549,1.6593,1.6520,1
6.4549,1.6641,1.6593,1
6.4549,1.6617,1.6601,1
6.4549,1.6601,1.6496,1
6.4549,1.6601,1.6238,1
6.4549,1.6609,1.6166,1
6.4549,1.6625,1.6254,1
6.4549,1.6601,1.6270,1
6.4549,1.6649,1.6415,1
6.4549,1.6657,1.6544,1
6.4549,1.6657,1.6415,1
6.4549,1.6681,1.6415,1
6.4549,1.6705,1.6407,1
6.4549,1.6697,1.6520,1
6.4549,1.6617,1.6617,1
6.4549,1.6617,1.6649,1
6.4549,1.6593,1.6705,1
6.4549,1.6593,1.6617,1
6.4549,1.6560,1.6440,1
6.4549,1.6633,1.6286,1
6.4549,1.6609,1.6246,1
6.4549,1.6520,1.6222,1
6.4549,1.6593,1.6238,1
6.4549,1.6601,1.6222,1
6.4549,1.6617,1.6295,1
6.4549,1.6609,1.6270,1
6.4549,1.6601,1.6222,1
6.4549,1.6568,1.6149,1
6.4549,1.6512,1.6174,1
6.4549,1.6432,1.6149,1
6.4549,1.6456,1.6286,1
6.4549,1.6472,1.6278,1
6.4549,1.6423,1.6238,1
6.4549,1.6448,1.6303,1
6.4549,1.6456,1.6303,1
6.4549,1.6432,1.6359,1
6.4549,1.6472,1.6327,1
6.4549,1.6512,1.6415,1
6.5093,1.6520,1.6383,1
6.5093,1.6536,1.6238,1
6.5093,1.6552,1.6206,1
6.5093,1.6512,1.6214,1
6.5093,1.6480,1.6343,1
6.5093,1.6488,1.6158,1
6.5093,1.6480,1.5972,1
6.5093,1.6456,1.5900,1
6.5093,1.6536,1.5980,1
6.5093,1.6528,1.5795,1
6.5093,1.6544,1.5529,1
6.5093,1.6520,1.5771,1
6.5093,1.6585,1.5819,1
6.5093,1.6657,1.5892,1
6.5093,1.6617,1.5763,1
6.5093,1.6512,1.5900,1
6.5093,1.6552,1.6053,1
6.5093,1.6625,1.6117,1
6.5093,1.6488,1.6053,1
6.5093,1.6504,1.6190,1
6.5093,1.6520,1.6407,1
6.5093,1.6512,1.6286,1
6.5098,1.6448,1.6182,1
6.5098,1.6472,1.6206,1
6.5098,1.6552,1.6109,1
6.5098,1.6601,1.5980,1
6.5098,1.6593,1.5972,1
6.5098,1.6633,1.5924,1
6.5098,1.6593,1.5875,1
6.5098,1.6568,1.5892,1
6.5098,1.6568,1.6012,1
6.5098,1.6609,1.5932,1
6.5098,1.6617,1.5916,1
6.5098,1.6568,1.5682,1
6.5098,1.6585,1.5827,1
6.5098,1.6544,1.6004,1
6.5098,1.6343,1.6029,1
6.5098,1.6311,1.6101,1
6.5098,1.6399,1.6174,1
6.5098,1.6399,1.6214,1
6.5098,1.6391,1.6061,1
6.5098,1.6391,1.6069,1
6.5098,1.6367,1.6133,1
6.5098,1.6335,1.6359,1
6.5098,1.6351,1.6343,1
6.5098,1.6593,1.6182,1
6.5098,1.6738,1.6149,1
6.5098,1.6689,1.6166,1
6.5098,1.6673,1.6190,1
6.5098,1.6609,1.6254,1
6.5098,1.6585,1.6303,1
6.5098,1.6577,1.6375,1
6.5098,1.6601,1.6319,1
6.5098,1.6609,1.6190,1
6.5098,1.6544,1.6133,1
6.5098,1.6343,1.6190,1
6.5098,1.6351,1.6311,1
6.5098,1.6343,1.6286,1
6.5098,1.6359,1.6278,1
6.5098,1.6423,1.6190,1
6.5098,1.6440,1.6230,1
6.5098,1.6440,1.6343,1
6.5098,1.6496,1.6609,1
6.5098,1.6472,1.6633,1
6.5098,1.6504,1.6730,1
6.5098,1.6528,1.6730,1
6.5098,1.6560,1.6657,1
6.5098,1.6528,1.6504,1
6.5098,1.6568,1.6512,1
6.5098,1.6585,1.6383,1
6.5098,1.6568,1.6319,1
6.5098,1.6544,1.6149,1
6.5098,1.6520,1.6061,1
6.5098,1.6617,1.6117,1
6.5098,1.6625,1.6061,1
6.5098,1.6609,1.6117,1
6.5098,1.6625,1.6085,1
6.5098,1.6697,1.6190,1
6.5098,1.6641,1.6158,1
6.5098,1.6617,1.6319,1
6.5098,1.6665,1.6351,1
6.5098,1.6681,1.6367,1
6.5098,1.6633,1.6021,1
6.5098,1.6617,1.6069,1
6.5098,1.6593,1.6037,1
6.5098,1.6536,1.5851,1
6.5098,1.6528,1.5819,1
6.5098,1.6552,1.5948,1
6.5098,1.6560,1.5859,1
6.5098,1.6536,1.5956,1
6.5098,1.6536,1.6238,1
6.5098,1.6552,1.6214,1
6.5098,1.6520,1.6238,1
6.5098,1.6488,1.6077,1
6.5098,1.6544,1.6166,1
6.5098,1.6601,1.6254,1
6.5098,1.6577,1.6343,1
6.5098,1.6544,1.6238,1
6.5098,1.6552,1.6214,1
6.5098,1.6544,1.6069,1
6.5098,1.6536,1.5795,1
6.5098,1.6568,1.5948,1
6.5098,1.6633,1.6061,1
6.5098,1.6609,1.6133,1
6.5098,1.6577,1.6004,1
6.5498,1.6609,1.5940,1
6.5498,1.6609,1.5787,1
6.5498,1.6593,1.5698,1
6.5498,1.6601,1.5916,1
6.5498,1.6633,1.6254,1
6.5498,1.6593,1.6166,1
6.5498,1.6552,1.5940,1
6.5498,1.6528,1.5932,1
6.5498,1.6536,1.5964,1
6.5498,1.6496,1.6101,1
6.5498,1.6480,1.6295,1
6.5498,1.6512,1.6359,1
6.5498,1.6512,1.6432,1
6.5498,1.6488,1.6270,1
6.5498,1.6528,1.6045,1
6.5498,1.6536,1.6198,1
6.5498,1.6520,1.6399,1
6.5498,1.6544,1.6593,1
6.5498,1.6585,1.6496,1
6.5498,1.6625,1.6335,1
6.5498,1.6577,1.6053,1
6.5498,1.6601,1.5988,1
6.5498,1.6585,1.6069,1
6.5498,1.6577,1.6174,1
6.5498,1.6560,1.6149,1
6.5498,1.6617,1.6166,1
6.5498,1.6593,1.5980,1
6.5498,1.6552,1.5835,1
6.5498,1.6552,1.5835,1
6.5498,1.6520,1.5988,1
6.5498,1.6480,1.6254,1
6.5498,1.6464,1.6278,1
6.5498,1.6520,1.6222,1
6.5498,1.6520,1.6238,1
6.5498,1.6456,1.6190,1
6.5498,1.6440,1.6037,1
6.5498,1.6504,1.6149,1
6.5498,1.6488,1.6029,1
6.5498,1.6488,1.6069,1
6.5498,1.6552,1.5956,1
6.5498,1.6633,1.5972,1
6.5498,1.6601,1.5972,1
6.5498,1.6585,1.5948,1
6.5498,1.6585,1.5819,1
6.5498,1.6609,1.5827,1
6.5498,1.6520,1.5916,1
6.5498,1.6544,1.5867,1
6.5498,1.6504,1.6029,1
6.5498,1.6488,1.6141,1
6.5498,1.6464,1.6093,1
6.5498,1.6456,1.6101,1
6.5498,1.6480,1.6158,1
6.5498,1.6456,1.6133,1
6.5498,1.6496,1.6214,1
6.5498,1.6512,1.6206,1
6.5498,1.6552,1.6069,1
6.5498,1.6512,1.6141,1
6.5498,1.6577,1.6125,1
6.5498,1.6544,1.6101,1
6.5498,1.6528,1.6230,1
6.5498,1.6585,1.6133,1
6.5498,1.6560,1.6174,1
6.5498,1.6528,1.6286,1
6.5498,1.6520,1.6335,1
6.5498,1.6552,1.6311,1
6.5498,1.6544,1.6367,1
6.5498,1.6536,1.6432,1
6.5498,1.6552,1.6407,1
6.5498,1.6593,1.6343,1
6.5498,1.6560,1.6359,1
6.5498,1.6504,1.6440,1
6.5498,1.6528,1.6367,1
6.5498,1.6560,1.6295,1
6.5498,1.6512,1.6246,1
6.5498,1.6544,1.6262,1
6.5498,1.6585,1.6351,1
6.5498,1.6552,1.6311,1
6.5498,1.6560,1.6448,1
6.5498,1.6593,1.6536,1
6.5498,1.6625,1.6480,1
6.5498,1.6593,1.6504,1
6.5498,1.6625,1.6440,1
6.5498,1.6625,1.6423,1
6.5498,1.6625,1.6552,1
6.5498,1.6536,1.6448,1
6.5498,1.6601,1.6456,1
6.5498,1.6633,1.6319,1
6.5498,1.6593,1.6230,1
6.6042,1.6568,1.6319,1
6.6042,1.6577,1.6295,1
6.6042,1.6593,1.6295,1
6.6042,1.6536,1.6488,1
6.6042,1.6577,1.6440,1
6.6042,1.6609,1.6375,1
6.6042,1.6609,1.6577,1
6.6042,1.6585,1.6657,1
6.6042,1.6593,1.6730,1
6.6042,1.6593,1.6714,1
6.6042,1.6544,1.6649,1
6.6042,1.6560,1.6657,1
6.6042,1.6577,1.6665,1
6.6042,1.6568,1.6585,1
6.6042,1.6560,1.6560,1
6.6042,1.6577,1.6496,1
6.6042,1.6568,1.6488,1
6.6042,1.6536,1.6198,1
6.6042,1.6544,1.6254,1
6.6042,1.6560,1.6101,1
6.6042,1.6585,1.6053,1
6.6042,1.6560,1.6198,1
6.6042,1.6601,1.6166,1
6.6042,1.6641,1.6222,1
6.6042,1.6601,1.6335,1
6.6042,1.6609,1.6359,1
6.6042,1.6633,1.6295,1
6.6042,1.6625,1.6496,1
6.6042,1.6601,1.6432,1
6.6042,1.6641,1.6915,1
6.6042,1.6609,1.6915,1
6.6042,1.6585,1.6794,1
6.6042,1.6552,1.6681,1
6.6042,1.6560,1.6585,1
6.6042,1.6568,1.6480,1
6.6042,1.6568,1.6609,1
6.6042,1.6617,1.6689,1
6.6042,1.6641,1.6617,1
6.6042,1.6609,1.6697,1
6.6042,1.6593,1.6375,1
6.6042,1.6641,1.6311,1
6.6042,1.6641,1.6375,1
6.6042,1.6617,1.6488,1
6.6042,1.6633,1.6512,1
6.6042,1.6641,1.6649,1
6.6042,1.6609,1.6528,1
6.6042,1.6560,1.6488,1
6.6042,1.6617,1.6488,1
6.6042,1.6633,1.6472,1
6.6042,1.6609,1.6480,1
6.6042,1.6625,1.6577,1
6.6042,1.6641,1.6601,1
6.6042,1.6625,1.6528,1
6.6042,1.6593,1.6512,1
6.6042,1.6609,1.6544,1
6.6042,1.6568,1.6633,1
6.6042,1.6568,1.6826,1
6.6042,1.6568,1.6810,1
6.6042,1.6585,1.6778,1
6.6042,1.6552,1.6609,1
6.6042,1.6520,1.6512,1
6.6042,1.6552,1.6335,1
6.6042,1.6585,1.6311,1
6.6042,1.6568,1.6432,1
6.6042,1.6593,1.6464,1
6.6042,1.6617,1.6343,1
6.6042,1.6577,1.6093,1
6.6042,1.6536,1.6206,1
6.6042,1.6585,1.6286,1
6.6042,1.6585,1.6391,1
6.6042,1.6560,1.6415,1
6.6042,1.6560,1.6552,1
6.6042,1.6577,1.6754,1
6.6042,1.6617,1.6714,1
6.6042,1.6601,1.6512,1
6.6042,1.6649,1.6528,1
6.6042,1.6746,1.6552,1
6.6042,1.6705,1.6335,1
6.6042,1.6641,1.6311,1
6.6042,1.6681,1.6415,1
6.6042,1.6705,1.6440,1
6.6042,1.6641,1.6407,1
6.6042,1.6657,1.6262,1
6.6042,1.6609,1.6286,1
6.6042,1.6585,1.6423,1
6.6042,1.6577,1.6399,1
6.6042,1.6536,1.6367,1
6.6042,1.6577,1.6472,1
6.6042,1.6633,1.6512,1
6.6042,1.6681,1.6552,1
6.6042,1.6778,1.6552,1
6.6042,1.6770,1.6496,1
6.6042,1.6738,1.6448,1
6.6042,1.6738,1.6286,1
6.6042,1.6705,1.6295,1
6.6042,1.6681,1.6303,1
6.6042,1.6730,1.6311,1
6.6042,1.6697,1.6472,1
6.6042,1.6609,1.6472,1
6.6042,1.6585,1.6391,1
6.6042,1.6536,1.6448,1
6.6042,1.6560,1.6577,1
6.6448,1.6568,1.6641,1
6.6448,1.6641,1.6746,1
6.6448,1.6665,1.6601,1
6.6448,1.6681,1.6601,1
6.6448,1.6665,1.6577,1
6.6448,1.6697,1.6448,1
6.6448,1.6738,1.6375,1
6.6448,1.6665,1.6496,1
6.6448,1.6665,1.6351,1
6.6448,1.6681,1.6383,1
6.6448,1.6705,1.6303,1
6.6448,1.6649,1.6214,1
6.6448,1.6689,1.6311,1
6.6448,1.6681,1.6198,1
6.6448,1.6649,1.6351,1
6.6448,1.6641,1.6375,1
6.6448,1.6617,1.6359,1
6.6448,1.6577,1.6125,1
6.6448,1.6528,1.6174,1
6.6448,1.6544,1.6133,1
6.6448,1.6528,1.6295,1
6.6448,1.6520,1.6375,1
6.6448,1.6528,1.6335,1
6.6448,1.6544,1.6488,1
6.6448,1.6544,1.6407,1
6.6448,1.6528,1.6303,1
6.6448,1.6601,1.6311,1
6.6448,1.6657,1.6343,1
6.6448,1.6649,1.6303,1
6.6448,1.6657,1.6190,1
6.6448,1.6633,1.5972,1
6.6448,1.6601,1.5940,1
6.6448,1.6560,1.6045,1
6.6448,1.6593,1.5835,1
6.6448,1.6552,1.5924,1
6.6448,1.6552,1.6085,1
6.6448,1.6536,1.6141,1
6.6448,1.6560,1.6198,1
6.6448,1.6560,1.6254,1
6.6448,1.6512,1.6286,1
6.6448,1.6528,1.6335,1
6.6448,1.6552,1.6351,1
6.6448,1.6528,1.6254,1
6.6448,1.6585,1.6464,1
6.6448,1.6617,1.6327,1
6.6448,1.6601,1.6262,1
6.6448,1.6585,1.6278,1
6.6448,1.6601,1.6375,1
6.6448,1.6633,1.6399,1
6.6448,1.6617,1.6246,1
6.6448,1.6641,1.6278,1
6.6448,1.6665,1.6133,1
6.6448,1.6657,1.6182,1
6.6448,1.6560,1.6037,1
6.6448,1.6601,1.5940,1
6.6448,1.6568,1.5892,1
6.6448,1.6536,1.5843,1
6.6448,1.6367,1.5747,1
6.6448,1.6432,1.5771,1
6.6448,1.6464,1.6109,1
6.6448,1.6440,1.6206,1
6.6448,1.6448,1.6496,1
6.6448,1.6472,1.6536,1
6.6448,1.6456,1.6665,1
6.6448,1.6456,1.6778,1
6.6448,1.6496,1.6818,1
6.6448,1.6536,1.6786,1
6.6448,1.6681,1.6730,1
6.6448,1.6665,1.6705,1
6.6448,1.6665,1.6375,1
6.6448,1.6665,1.6246,1
6.6448,1.6649,1.6319,1
6.6448,1.6794,1.6222,1
6.6448,1.6794,1.6311,1
6.6448,1.6722,1.6117,1
6.6448,1.6722,1.6166,1
6.6448,1.6722,1.6254,1
6.6448,1.6665,1.6327,1
6.6448,1.6673,1.6375,1
6.6448,1.6681,1.6528,1
6.6448,1.6657,1.6552,1
6.7000,1.6641,1.6351,1
6.7000,1.6552,1.6383,1
6.7000,1.6585,1.6319,1
6.7000,1.6593,1.6512,1
6.7000,1.6593,1.6520,1
6.7000,1.6649,1.6440,1
6.7000,1.6794,1.6423,1
6.7000,1.6722,1.6343,1
6.7000,1.6762,1.6472,1
6.7000,1.6786,1.6448,1
6.7000,1.6754,1.6512,1
6.7000,1.6697,1.6552,1
6.7000,1.6883,1.6488,1
6.7000,1.6891,1.6399,1
6.7000,1.6851,1.6270,1
6.7000,1.6802,1.6391,1
6.7000,1.6705,1.6423,1
6.7000,1.6697,1.6512,1
6.7000,1.6649,1.6399,1
6.7000,1.6681,1.6480,1
6.7000,1.6722,1.6415,1
6.7000,1.6730,1.6375,1
6.7000,1.6552,1.6448,1
6.7000,1.6585,1.6528,1
6.7000,1.6617,1.6722,1
6.7000,1.6609,1.6673,1
6.7000,1.6633,1.6665,1
6.7000,1.6641,1.6544,1
6.7000,1.6665,1.6601,1
6.7000,1.6609,1.6536,1
6.7000,1.6625,1.6448,1
6.7000,1.6609,1.6512,1
6.7000,1.6601,1.6343,1
6.7000,1.6617,1.6214,1
6.7000,1.6633,1.6198,1
6.7000,1.6601,1.6222,1
6.7000,1.6560,1.6198,1
6.7000,1.6601,1.6295,1
6.7000,1.6560,1.6238,1
6.7000,1.6544,1.6367,1
6.7000,1.6528,1.6568,1
6.7000,1.6512,1.6544,1
6.7000,1.6496,1.6665,1
6.7000,1.6456,1.6867,1
6.7000,1.6472,1.6754,1
6.7000,1.6480,1.6625,1
6.7000,1.6464,1.6560,1
6.7000,1.6456,1.6560,1
6.7000,1.6488,1.6472,1
6.7000,1.6504,1.6367,1
6.7000,1.6504,1.6238,1
6.7000,1.6552,1.6295,1
6.7000,1.6520,1.6133,1
6.7000,1.6528,1.5964,1
6.7000,1.6504,1.5884,1
6.7000,1.6544,1.6012,1
6.7000,1.6577,1.6012,1
6.7000,1.6568,1.6004,1
6.7000,1.6601,1.6061,1
6.7000,1.6617,1.6149,1
6.7000,1.6609,1.6222,1
6.7000,1.6585,1.6141,1
6.7000,1.6665,1.6343,1
6.7000,1.6649,1.6399,1
6.7000,1.6641,1.6472,1
6.7000,1.6673,1.6278,1
6.7000,1.6697,1.6351,1
6.7000,1.6673,1.6327,1
6.7000,1.6641,1.6335,1
6.7000,1.6633,1.6158,1
6.7000,1.6625,1.5932,1
6.7000,1.6601,1.5908,1
6.7000,1.6568,1.5827,1
6.7000,1.6593,1.5747,1
6.7000,1.6577,1.5843,1
6.7000,1.6544,1.6101,1
6.7000,1.6577,1.6004,1
6.7000,1.6601,1.5956,1
6.7000,1.6585,1.6012,1
6.7000,1.6601,1.6109,1
6.7000,1.6641,1.6303,1
6.7000,1.6649,1.6262,1
6.7000,1.6657,1.6270,1
6.7000,1.6697,1.6432,1
6.7000,1.6689,1.6391,1
6.7000,1.6665,1.6262,1
6.7000,1.6593,1.6319,1
6.7000,1.6617,1.6303,1
6.7000,1.6625,1.6222,1
6.7000,1.6593,1.6158,1
6.7000,1.6625,1.6109,1
6.7000,1.6657,1.6149,1
6.7000,1.6625,1.6254,1
6.7000,1.6609,1.6295,1
6.7000,1.6665,1.6222,1
6.7000,1.6633,1.6158,1
6.7000,1.6609,1.6012,1
6.7000,1.6617,1.6117,1
6.7000,1.6625,1.6077,1
6.7000,1.6625,1.6198,1
6.7000,1.6577,1.6295,1
6.7000,1.6609,1.6303,1
6.7000,1.6601,1.6262,1
6.7000,1.6560,1.6214,1
6.7000,1.6504,1.6254,1
6.7000,1.6560,1.6278,1
6.7000,1.6601,1.6456,1
6.7000,1.6536,1.6391,1
6.7000,1.6568,1.6343,1
6.7000,1.6593,1.6238,1
6.7398,1.6568,1.6133,1
6.7398,1.6544,1.6174,1
6.7398,1.6577,1.6133,1
6.7398,1.6552,1.6166,1
6.7398,1.6544,1.6093,1
6.7398,1.6568,1.6093,1
6.7398,1.6577,1.6117,1
6.7398,1.6601,1.6125,1
6.7398,1.6560,1.6246,1
6.7398,1.6585,1.6270,1
6.7398,1.6568,1.6214,1
6.7398,1.6560,1.6254,1
6.7398,1.6601,1.6254,1
6.7398,1.6641,1.6198,1
6.7398,1.6641,1.6238,1
6.7398,1.6593,1.6448,1
6.7398,1.6609,1.6448,1
6.7398,1.6601,1.6415,1
6.7398,1.6560,1.6351,1
6.7398,1.6577,1.6327,1
6.7398,1.6601,1.6536,1
6.7398,1.6617,1.6536,1
6.7398,1.6568,1.6560,1
6.7398,1.6585,1.6472,1
6.7398,1.6601,1.6456,1
6.7398,1.6560,1.6319,1
6.7398,1.6544,1.6303,1
6.7398,1.6560,1.6335,1
6.7398,1.6609,1.6448,1
6.7398,1.6593,1.6472,1
6.7398,1.6633,1.6198,1
6.7398,1.6609,1.6133,1
6.7398,1.6568,1.6101,1
6.7398,1.6560,1.6214,1
6.7398,1.6617,1.6303,1
6.7398,1.6657,1.6254,1
6.7398,1.6641,1.6311,1
6.7398,1.6681,1.6391,1
6.7398,1.6560,1.6319,1
6.7398,1.6544,1.6399,1
6.7398,1.6536,1.6689,1
6.7398,1.6568,1.6665,1
6.7398,1.6601,1.6738,1
6.7398,1.6649,1.6746,1
6.7398,1.6649,1.6730,1
6.7398,1.6649,1.6770,1
6.7398,1.6641,1.6625,1
6.7398,1.6560,1.6585,1
6.7398,1.6665,1.6730,1
6.7398,1.6641,1.6633,1
6.7398,1.6593,1.6432,1
6.7398,1.6826,1.6440,1
6.7398,1.6826,1.6423,1
6.7398,1.6746,1.6367,1
6.7398,1.6689,1.6311,1
6.7398,1.6697,1.6327,1
6.7398,1.6665,1.6480,1
6.7398,1.6657,1.6415,1
6.7398,1.6689,1.6286,1
6.7398,1.6730,1.6214,1
6.7398,1.6714,1.6319,1
6.7398,1.6440,1.6343,1
6.7398,1.6472,1.6351,1
6.7398,1.6496,1.6399,1
6.7398,1.6512,1.6456,1
6.7398,1.6520,1.6520,1
6.7398,1.6585,1.6423,1
6.7398,1.6601,1.6464,1
6.7398,1.6601,1.6399,1
6.7398,1.6625,1.6641,1
6.7398,1.6665,1.6488,1
6.7398,1.6665,1.6536,1
6.7398,1.6633,1.6423,1
6.7398,1.6657,1.6335,1
6.7398,1.6641,1.6295,1
6.7398,1.6649,1.6101,1
6.7398,1.6673,1.6117,1
6.7398,1.6730,1.6125,1
6.7398,1.6641,1.6109,1
6.7398,1.6609,1.5996,1
6.7398,1.6625,1.6246,1
6.7398,1.6657,1.6262,1
6.7398,1.6601,1.6335,1
6.7961,1.6633,1.6303,1
6.7961,1.6641,1.6246,1
6.7961,1.6649,1.6423,1
6.7961,1.6609,1.6407,1
6.7961,1.6593,1.6343,1
6.7961,1.6641,1.6375,1
6.7961,1.6625,1.6351,1
6.7961,1.6609,1.6141,1
6.7961,1.6568,1.6101,1
6.7961,1.6601,1.6125,1
6.7961,1.6528,1.6214,1
6.7961,1.6577,1.6069,1
6.7961,1.6520,1.6037,1
6.7961,1.6512,1.5988,1
6.7961,1.6528,1.6117,1
6.7961,1.6560,1.6133,1
